article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,text_to_embed,image_url
0670678003,0670678,Alva trapper,75,Hat/beanie,Accessories,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,2950,Baby Toys/Acc,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1019,Accessories,"Hat in woven fabric with pile sections, earflaps, and a tab with a hook and loop fastening under the chin. Fleece lining.","Alva trapper Hat/beanie Accessories Solid Dark Blue Dark Blue Baby Toys/Acc Baby Sizes 50-98 Baby/Children Baby Essentials & Complements Accessories Hat in woven fabric with pile sections, earflaps, and a tab with a hook and loop fastening under the chin. Fleece lining.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/067/0670678003.jpg
0818021006,0818021,Sunglasses Gwen,81,Sunglasses,Accessories,1010016,Solid,51,Light Pink,3,Light,4,Pink,4313,Girls Small Acc/Bags,J,"Children Accessories, Swimwear",4,Baby/Children,43,"Kids Accessories, Swimwear & D",1019,Accessories,"Aviator-style sunglasses with decorations at the top. Metal and plastic frames and tinted, UV-protective lenses.","Sunglasses Gwen Sunglasses Accessories Solid Light Pink Light Pink Girls Small Acc/Bags Children Accessories, Swimwear Baby/Children Kids Accessories, Swimwear & D Accessories Aviator-style sunglasses with decorations at the top. Metal and plastic frames and tinted, UV-protective lenses.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/081/0818021006.jpg
0684084001,0684084,NINON p-cap,69,Cap/peaked,Accessories,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,4322,Young Girl Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Cap in cotton twill with a motif on the front and an adjustable plastic fastener at the back.,"NINON p-cap Cap/peaked Accessories Solid Light Pink Dusty Light Pink Young Girl Big Acc Children Accessories, Swimwear Baby/Children Kids Outerwear Accessories Cap in cotton twill with a motif on the front and an adjustable plastic fastener at the back.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/068/0684084001.jpg
0698459003,0698459,Resort suncap,76,Hat/brim,Accessories,1010006,Dot,51,Light Pink,1,Dusty Light,4,Pink,2950,Baby Toys/Acc,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1019,Accessories,Cap in a cotton weave with a practical flap at the back to protect the ears and back of the neck.,Resort suncap Hat/brim Accessories Dot Light Pink Dusty Light Pink Baby Toys/Acc Baby Sizes 50-98 Baby/Children Baby Essentials & Complements Accessories Cap in a cotton weave with a practical flap at the back to protect the ears and back of the neck.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/069/0698459003.jpg
0630851001,0630851,BEANIE KNIT MALTE LATE,75,Hat/beanie,Accessories,1010026,Other structure,73,Dark Blue,4,Dark,2,Blue,4212,Kids Boy Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Hat in a soft knit with a pompom on the top and earflaps. Fleece lining.,"BEANIE KNIT MALTE LATE Hat/beanie Accessories Other structure Dark Blue Dark Blue Kids Boy Big Acc Children Accessories, Swimwear Baby/Children Kids Outerwear Accessories Hat in a soft knit with a pompom on the top and earflaps. Fleece lining.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/063/0630851001.jpg
0738612003,0738612,SNOOD JERSEY OWN.,80,Scarf,Accessories,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,4212,Kids Boy Big Acc,J,"Children Accessories, Swimwear",4,Baby/Children,45,Kids Outerwear,1019,Accessories,Double-layered tube scarf in soft cotton jersey.,"SNOOD JERSEY OWN. Scarf Accessories Solid Dark Blue Dark Blue Kids Boy Big Acc Children Accessories, Swimwear Baby/Children Kids Outerwear Accessories Double-layered tube scarf in soft cotton jersey.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/073/0738612003.jpg
0815446010,0815446,Pedro peak cap,69,Cap/peaked,Accessories,1010001,All over pattern,51,Light Pink,1,Dusty Light,4,Pink,2950,Baby Toys/Acc,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1019,Accessories,"Cotton cap with a sweatband inside in a cotton weave, and elastication at the back.","Pedro peak cap Cap/peaked Accessories All over pattern Light Pink Dusty Light Pink Baby Toys/Acc Baby Sizes 50-98 Baby/Children Baby Essentials & Complements Accessories Cotton cap with a sweatband inside in a cotton weave, and elastication at the back.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/081/0815446010.jpg
0817351001,0817351,AVIATOR METALLIC,81,Sunglasses,Accessories,1010011,Metallic,03,Silver,3,Light,15,Metal,4213,Boys Small Acc & Bags,J,"Children Accessories, Swimwear",4,Baby/Children,43,"Kids Accessories, Swimwear & D",1020,Shoes,"Aviator-style sunglasses with metal and plastic frames and tinted, mirrored, UV-protective lenses in a shimmering metallic contrasting colour.","AVIATOR METALLIC Sunglasses Accessories Metallic Silver Light Metal Boys Small Acc & Bags Children Accessories, Swimwear Baby/Children Kids Accessories, Swimwear & D Shoes Aviator-style sunglasses with metal and plastic frames and tinted, mirrored, UV-protective lenses in a shimmering metallic contrasting colour.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/081/0817351001.jpg
0698480001,0698480,Otis sunglasses,81,Sunglasses,Accessories,1010016,Solid,14,Dark Beige,4,Dark,11,Beige,2950,Baby Toys/Acc,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1019,Accessories,"Sunglasses with plastic frames and tinted, UV-protective lenses.","Otis sunglasses Sunglasses Accessories Solid Dark Beige Dark Beige Baby Toys/Acc Baby Sizes 50-98 Baby/Children Baby Essentials & Complements Accessories Sunglasses with plastic frames and tinted, UV-protective lenses.",https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/069/0698480001.jpg
0824748002,0824748,Siri beanie,75,Hat/beanie,Accessories,1010016,Solid,51,Light Pink,1,Dusty Light,4,Pink,2950,Baby Toys/Acc,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1019,Accessories,Hat in soft garter-stitched cotton with a ribbed hem.,Siri beanie Hat/beanie Accessories Solid Light Pink Dusty Light Pink Baby Toys/Acc Baby Sizes 50-98 Baby/Children Baby Essentials & Complements Accessories Hat in soft garter-stitched cotton with a ribbed hem.,https://qdrant-nextjs-demo-product-images.s3.us-east-1.amazonaws.com/images/082/0824748002.jpg
